-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,29,29,29,29,29,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,48,-1,-1,-1,-1,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,29,29,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,37,-1,-1,-1,42,-1,-1,40,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,29,29,29,29,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,29,-1,-1,29,29,29,-1,-1,-1,-1,29,29,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,29,29,-1,-1,-1,37,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,29,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,29,29,-1,45,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,29,-1,-1,-1,-1,-1,29,29,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,29,29,29,29,29,-1,-1,-1,-1,
-1,29,40,-1,-1,42,-1,-1,29,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,29,-1,-1,29,29,29,-1,-1,-1,
-1,29,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,29,42,39,39,-1,29,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,29,29,-1,
-1,29,-1,-1,40,41,42,-1,29,29,29,29,29,29,29,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,29,-1,
-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,29,-1,44,-1,37,-1,-1,29,-1,
-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,29,29,29,29,-1,-1,-1,-1,-1,-1,-1,29,-1,
-1,29,-1,-1,46,-1,-1,-1,42,-1,29,29,29,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,39,-1,29,-1,
-1,29,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,29,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,-1,39,29,29,-1,
-1,-1,29,-1,-1,-1,-1,-1,29,29,29,-1,-1,-1,-1,-1,29,-1,-1,-1,29,29,29,29,29,29,-1,-1,-1,-1,-1,39,29,-1,-1,
-1,-1,29,29,-1,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,29,-1,-1,-1,-1,29,-1,-1,-1,-1,38,-1,29,-1,-1,
-1,-1,-1,29,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,29,-1,-1,-1,-1,29,-1,-1,42,-1,-1,-1,29,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,36,-1,29,-1,-1,-1,-1,29,29,-1,-1,-1,29,29,29,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,29,-1,-1,29,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,29,29,29,29,29,29,29,29,-1,38,-1,29,-1,-1,-1,-1,-1,-1,29,29,29,29,-1,-1,-1,-1,
